순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
39,국가대표,김용화,케이엠컬쳐㈜,,쇼박스,2009-07-29,개봉영화,장편,한국,580,"60,896,633,308","8,487,894",드라마,12세이상관람가,일반영화
40,디워,심형래,㈜영구아트,,쇼박스,2007-08-01,개봉영화,장편,한국,0,0,"8,426,973",액션,12세이상관람가,일반영화
41,백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"CJ ENM,덱스터스튜디오",2019-12-19,개봉영화,장편,한국,"1,971","69,825,366,300","8,252,669",어드벤처,12세이상관람가,일반영화
42,과속스캔들,강형철,"(주)토일렛픽쳐스,(주)디씨지플러스",,롯데엔터테인먼트,2008-12-03,개봉영화,장편,한국,405,"53,940,101,534","8,245,523",코미디,12세이상관람가,일반영화
43,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,"1,975","87,855,360,975","8,177,446",액션,12세이상관람가,일반영화
44,스파이더맨: 파 프롬 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,"2,142","69,000,711,100","8,020,208",액션,12세이상관람가,일반영화
45,웰컴 투 동막골,박광현,"필름있수다,(주)쇼박스",,쇼박스,2005-08-04,개봉영화,장편,한국,0,0,"8,008,622",전쟁,12세관람가,일반영화
46,공조,김성훈,"(주)제이케이필름,(주)씨제이이엔엠,영화사 이창,(주)에이치비엔터테인먼트",,CJ ENM,2017-01-18,개봉영화,장편,한국,976,"63,781,731,326","7,817,446",액션,15세이상관람가,일반영화
47,트랜스포머 3,마이클 베이,,(주)씨제이이엔엠,CJ ENM,2011-06-29,개봉영화,장편,미국,"1,409","74,841,350,500","7,784,807",액션,12세이상관람가,일반영화
48,히말라야,이석훈,(주)제이케이필름,,CJ ENM,2015-12-16,개봉영화,장편,한국,"1,009","60,173,583,015","7,759,473",드라마,12세이상관람가,일반영화
49,미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,(주)씨제이이엔엠,CJ ENM,2011-12-15,개봉영화,장편,미국,"1,038","57,795,846,000","7,575,899",액션,15세이상관람가,일반영화
50,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,개봉영화,장편,미국,"2,948","75,193,912,210","7,551,990",액션,12세이상관람가,일반영화
51,트랜스포머: 패자의 역습,마이클 베이,"드림웍스 SKG,파라마운트 픽쳐스",CJ ENM,CJ ENM,2009-06-24,개봉영화,장편,미국,"1,129","51,478,531,663","7,505,700",SF,12세이상관람가,일반영화
52,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아,2016-09-07,개봉영화,장편,한국,"1,444","61,158,644,831","7,487,545",액션,15세이상관람가,일반영화
53,최종병기 활,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,"55,808,856,500","7,466,976",사극,15세이상관람가,일반영화
54,트랜스포머,마이클 베이,"드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스",CJ ENM,CJ ENM,2007-06-28,개봉영화,장편,미국,0,0,"7,440,531",SF,12세이상관람가,일반영화
55,써니,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",,CJ ENM,2011-05-04,개봉영화,장편,한국,472,"53,773,170,600","7,328,820",드라마,15세이상관람가,일반영화
56,화려한 휴가,김지훈,기획시대(주),,CJ ENM,2007-07-25,개봉영화,장편,한국,0,0,"7,307,993",드라마,12세이상관람가,일반영화
57,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데엔터테인먼트,2022-07-27,개봉영화,장편,한국,"2,223","73,700,628,377","7,264,934",액션,12세이상관람가,일반영화
58,스파이더맨: 홈 커밍,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,개봉영화,장편,미국,"1,965","59,120,173,820","7,257,973",액션,12세이상관람가,일반영화
59,1987,장준환,(주)우정필름,,CJ ENM,2017-12-27,개봉영화,장편,한국,"1,299","58,165,581,145","7,231,638",드라마,15세이상관람가,일반영화
60,베를린,류승완,"(주)외유내강,(주)씨제이이엔엠",,CJ ENM,2013-01-30,개봉영화,장편,한국,894,"52,354,931,637","7,166,199",액션,15세이상관람가,일반영화
61,마스터,조의석,영화사 집,,CJ ENM,2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865","7,150,541",액션,15세이상관람가,일반영화
62,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,쇼박스,2016-08-10,개봉영화,장편,한국,"1,105","57,510,324,417","7,118,592",드라마,12세이상관람가,일반영화
63,어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,개봉영화,장편,미국,967,"59,557,853,478","7,074,867",액션,12세이상관람가,일반영화
64,내부자들,우민호,(유)내부자들 문화전문회사,,쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057","7,071,763",범죄,청소년관람불가,일반영화
65,인천상륙작전,이재한,(주)태원엔터테인먼트,,CJ ENM,2016-07-27,개봉영화,장편,한국,"1,049","55,101,410,303","7,049,643",전쟁,12세이상관람가,일반영화
66,공조2: 인터내셔날,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,CJ ENM,2022-09-07,개봉영화,장편,한국,"2,389","70,884,583,586","6,979,319",액션,15세이상관람가,일반영화
67,럭키,이계벽,(주)용필름,,쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256","6,965,706",코미디,15세이상관람가,일반영화
68,은밀하게 위대하게,장철수,(주)엠씨엠씨,,쇼박스,2013-06-05,개봉영화,장편,한국,"1,341","48,663,939,413","6,953,800",액션,15세이상관람가,일반영화
69,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아,2016-05-12,개봉영화,장편,한국,"1,485","55,853,108,382","6,878,264",미스터리,15세이상관람가,일반영화
70,범죄도시,강윤성,"(주)홍필름,(주)비에이엔터테인먼트",,"플러스엠 엔터테인먼트,키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249","6,851,297",범죄,청소년관람불가,일반영화
71,타짜,최동훈,"(주)싸이더스,(주)영화사참",,CJ ENM,2006-09-28,개봉영화,장편,한국,0,0,"6,847,777",드라마,18세관람가,일반영화
72,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,"(주)다크서클픽쳐스,(주)바른손이앤에이",,CJ ENM,2008-07-17,개봉영화,장편,한국,825,"43,768,628,939","6,686,912",서부극(웨스턴),15세이상관람가,일반영화
73,늑대소년,조성희,(주)영화사비단길,,CJ ENM,2012-10-31,개봉영화,장편,한국,706,"46,593,107,500","6,654,837",멜로/로맨스,15세이상관람가,일반영화
74,미녀는 괴로워,김용화,"리얼라이즈픽쳐스(주),케이엠컬쳐㈜",,쇼박스,2006-12-14,개봉영화,장편,한국,0,0,"6,619,498",멜로/로맨스,12세이상관람가,일반영화
75,군함도,류승완,"(주)외유내강,(주)필름케이",,CJ ENM,2017-07-26,개봉영화,장편,한국,"2,027","50,510,565,168","6,592,151",액션,15세이상관람가,일반영화
76,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데엔터테인먼트,2018-07-25,개봉영화,장편,미국,"1,957","55,888,375,112","6,584,915",액션,15세이상관람가,일반영화
77,다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아,2012-07-19,개봉영화,장편,미국,"1,210","47,644,838,000","6,396,528",액션,15세이상관람가,일반영화
78,아저씨,이정범,오퍼스픽쳐스(유),,CJ ENM,2010-08-04,개봉영화,장편,한국,478,"47,870,792,359","6,282,774",액션,청소년관람불가,일반영화
79,사도,이준익,(주)타이거픽쳐스,,쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501","6,246,849",사극,12세이상관람가,일반영화
80,전우치,최동훈,영화사 집,,CJ ENM,2009-12-23,개봉영화,장편,한국,606,"44,605,437,017","6,136,928",액션,12세이상관람가,일반영화
81,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데엔터테인먼트,2015-07-30,개봉영화,장편,미국,"1,202","48,547,353,607","6,126,488",액션,15세이상관람가,일반영화
82,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아,2015-02-11,개봉영화,장편,미국,706,"50,333,635,795","6,125,154",액션,청소년관람불가,일반영화
83,투사부일체,김동원,(주)시네마제니스,,CJ ENM,2006-01-19,개봉영화,장편,한국,0,0,"6,105,431",코미디,15세관람가,일반영화
84,연평해전,김학순,(주)로제타시네마,,넥스트엔터테인먼트월드(NEW),2015-06-24,개봉영화,장편,한국,"1,013","45,560,620,330","6,043,458",드라마,12세이상관람가,일반영화
85,인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스","(주)엔케이컨텐츠,워너브러더스 코리아(주)","디스테이션,워너브러더스 코리아",2010-07-21,개봉영화,장편,미국,528,"44,106,546,302","5,926,948",드라마,12세이상관람가,일반영화
86,레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,개봉영화,장편,미국,696,"43,044,999,000","5,911,890",드라마,12세이상관람가,일반영화
87,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,개봉영화,장편,미국,"2,691","62,648,728,870","5,884,587",액션,12세이상관람가,일반영화
88,캡틴 마블,"애너 보든,라이언 플렉",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,개봉영화,장편,미국,"2,100","51,491,272,223","5,801,069",액션,12세이상관람가,일반영화
89,미션 임파서블 3,J.J. 에이브럼스,"파라마운트 픽쳐스,크루즈/와그너 프로덕션",UIP코리아,UIP코리아,2006-05-03,개봉영화,장편,미국,0,0,"5,740,789",액션,15세관람가,일반영화
90,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,개봉영화,장편,미국,"1,972","49,770,711,037","5,661,128",액션,12세이상관람가,일반영화
91,청년경찰,김주환,"(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)",,롯데엔터테인먼트,2017-08-09,개봉영화,장편,한국,"1,102","44,241,099,316","5,636,259",액션,15세이상관람가,일반영화
92,가문의 위기(가문의 영광2),정용기,(주)태원엔터테인먼트,,쇼박스,2005-09-07,개봉영화,장편,한국,0,0,"5,635,266",코미디,15세관람가,일반영화
93,숨바꼭질,허정,(주)드림캡쳐,,넥스트엔터테인먼트월드(NEW),2013-08-14,개봉영화,장편,한국,779,"39,593,038,500","5,602,543",스릴러,15세이상관람가,일반영화
94,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데엔터테인먼트,2016-08-03,개봉영화,장편,한국,964,"44,344,141,109","5,593,551",사극,12세이상관람가,일반영화
95,더 테러 라이브,김병우,(주)씨네이천,,롯데엔터테인먼트,2013-07-31,개봉영화,장편,한국,743,"39,866,712,881","5,583,596",범죄,15세이상관람가,일반영화
96,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,개봉영화,장편,미국,"1,290","47,800,698,826","5,546,792",액션,12세이상관람가,일반영화
97,의형제,장훈,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜",,쇼박스,2010-02-04,개봉영화,장편,한국,572,"40,800,867,602","5,507,106",드라마,15세이상관람가,일반영화
98,감시자들,"조의석,김병서",영화사 집,,넥스트엔터테인먼트월드(NEW),2013-07-03,개봉영화,장편,한국,949,"39,298,005,179","5,496,547",범죄,15세이상관람가,일반영화
99,2012,롤랜드 에머리히,센트로폴리스 엔터테인먼트,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2009-11-12,개봉영화,장편,미국,789,"39,415,166,660","5,462,953",SF,12세이상관람가,일반영화
100,앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,개봉영화,장편,미국,"1,775","47,465,443,185","5,447,826",액션,12세이상관람가,일반영화
101,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아,2016-10-26,개봉영화,장편,미국,"1,503","47,482,530,396","5,446,379",액션,12세이상관람가,일반영화
102,검은 사제들,장재현,영화사 집,,CJ ENM,2015-11-05,개봉영화,장편,한국,"1,088","42,395,347,092","5,440,945",미스터리,15세이상관람가,일반영화
103,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,540","46,335,334,026","5,440,186",사극,12세이상관람가,일반영화
104,블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,개봉영화,장편,미국,"1,620","45,883,143,457","5,398,994",액션,12세이상관람가,일반영화
105,더 킹,한재림,(주)매그넘나인,,넥스트엔터테인먼트월드(NEW),2017-01-18,개봉영화,장편,한국,"1,310","43,486,078,535","5,316,325",범죄,15세이상관람가,일반영화
106,완득이,이한,"(주)유비유필름,어나더픽쳐스(주)",,CJ ENM,2011-10-20,개봉영화,장편,한국,500,"38,530,503,500","5,310,510",드라마,12세이상관람가,일반영화
107,트랜스포머: 사라진 시대,마이클 베이,,(주)씨제이이엔엠,CJ ENM,2014-06-25,개봉영화,장편,미국,"1,602","44,012,272,845","5,295,801",액션,12세이상관람가,일반영화
108,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,"1,313","44,356,752,474","5,294,119",드라마,15세이상관람가,일반영화
109,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아,2019-10-02,개봉영화,장편,미국,"1,418","45,442,252,130","5,255,228",액션,15세이상관람가,일반영화
110,월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데엔터테인먼트,2013-06-20,개봉영화,장편,미국,964,"38,555,357,000","5,237,525",드라마,15세이상관람가,일반영화
111,타워,김지훈,"(주)씨제이이엔엠,(주)더타워픽쳐스",,CJ ENM,2012-12-25,개봉영화,장편,한국,617,"37,654,858,000","5,181,014",드라마,12세이상관람가,일반영화
112,말아톤,정윤철,시네라인투(주),,쇼박스,2005-01-27,개봉영화,장편,한국,0,0,"5,148,022",드라마,전체관람가,일반영화
113,미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,개봉영화,장편,미국,"1,627","42,130,589,579","5,137,993",멜로/로맨스,전체관람가,일반영화
114,추격자,나홍진,(주)영화사비단길,,쇼박스,2008-02-14,개봉영화,장편,한국,435,"33,943,278,500","5,071,619",범죄,청소년관람불가,일반영화
115,독전,이해영,"(주)용필름,보야저필름",,넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357","43,484,892,913","5,063,620",범죄,15세이상관람가,일반영화
116,쿵푸팬더 2,여인영,,(주)씨제이이엔엠,CJ ENM,2011-05-26,개봉영화,장편,미국,948,"44,298,724,500","5,062,722",애니메이션,전체관람가,일반영화
117,아쿠아맨,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아,2018-12-19,개봉영화,장편,미국,"1,285","44,113,456,704","5,038,134",액션,12세이상관람가,일반영화
118,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,CJ ENM,2018-08-08,개봉영화,장편,한국,"1,317","42,759,410,176","4,971,261",드라마,12세이상관람가,일반영화
119,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아,2015-07-09,개봉영화,장편,미국,777,"38,015,586,936","4,968,687",애니메이션,전체관람가,일반영화
120,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,"제리 브룩하이머 필름,월트 디즈니 픽쳐스",한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-23,개봉영화,장편,미국,0,0,"4,966,571",액션,12세이상관람가,일반영화
121,킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아,2017-09-27,개봉영화,장편,미국,"1,687","40,987,484,736","4,945,484",액션,청소년관람불가,일반영화
122,스파이더맨 3,샘 레이미,"콜럼비아 픽쳐스 코포레이션,마블 엔터프라이즈",한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2007-05-01,개봉영화,장편,미국,0,0,"4,935,660",액션,12세이상관람가,일반영화
123,바람과 함께 사라지다,김주호,"(주)두타연,(주)에이디사공육",,넥스트엔터테인먼트월드(NEW),2012-08-08,개봉영화,장편,한국,694,"34,524,377,161","4,897,551",코미디,12세이상관람가,일반영화
124,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아",2015-10-08,개봉영화,장편,미국,"1,132","39,612,764,295","4,875,494",액션,12세이상관람가,일반영화
125,토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,개봉영화,장편,미국,"1,640","39,248,432,595","4,857,152",액션,12세이상관람가,일반영화
126,어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,개봉영화,장편,미국,"1,118","41,163,951,235","4,853,123",액션,12세이상관람가,일반영화
127,"님아, 그 강을 건너지 마오",진모영,아거스필름,,"CGV아트하우스,대명문화공장",2014-11-27,개봉영화,장편,한국,206,"37,354,452,679","4,801,355",다큐멘터리,전체관람가,독립/예술영화
128,조선명탐정 : 각시투구꽃의 비밀,김석윤,청년필름(주),,쇼박스,2011-01-27,개봉영화,장편,한국,611,"35,841,769,500","4,786,259",코미디,12세이상관람가,일반영화
129,봉오동 전투,원신연,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",,쇼박스,2019-08-07,개봉영화,장편,한국,"1,476","40,514,276,538","4,779,501",사극,15세이상관람가,일반영화
130,군도: 민란의 시대,윤종빈,"(주)영화사 월광,(주)쇼박스",,쇼박스,2014-07-23,개봉영화,장편,한국,"1,394","36,987,755,999","4,774,895",사극,15세이상관람가,일반영화
131,남산의 부장들,우민호,(주)하이브미디어코프,,쇼박스,2020-01-22,개봉영화,장편,한국,"1,659","41,223,596,650","4,750,104",드라마,15세이상관람가,일반영화
132,라이온 킹,존 파브로,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,개봉영화,장편,미국,"1,936","41,518,977,430","4,743,184",어드벤처,전체관람가,일반영화
133,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,"(주)팔레트픽처스,(주)쇼박스",,쇼박스,2012-02-02,개봉영화,장편,한국,699,"36,479,147,500","4,710,454",범죄,청소년관람불가,일반영화
134,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아,2016-02-17,개봉영화,장편,미국,661,"37,077,444,042","4,703,245",애니메이션,전체관람가,일반영화
135,엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아,2014-06-04,개봉영화,장편,미국,801,"38,703,942,201","4,697,142",액션,12세이상관람가,일반영화
136,신세계,박훈정,"(주)사나이픽처스,(주)페퍼민트앤컴퍼니,(주)대명문화공장,(주)파트너스케이",,넥스트엔터테인먼트월드(NEW),2013-02-21,개봉영화,장편,한국,671,"34,881,330,905","4,682,492",범죄,청소년관람불가,일반영화
137,쿵푸 팬더,"마크 오스본,존 스티븐슨",,CJ ENM,CJ ENM,2008-06-05,개봉영화,장편,미국,351,"30,000,965,000","4,673,009",애니메이션,전체관람가,일반영화
138,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아,2016-11-16,개봉영화,장편,미국,"1,431","39,337,263,058","4,666,993",어드벤처,12세이상관람가,일반영화
139,도가니,황동혁,"(주)삼거리픽쳐스,(주)판타지오",,CJ ENM,2011-09-22,개봉영화,장편,한국,644,"35,566,854,800","4,662,822",드라마,청소년관람불가,일반영화
140,캐리비안의 해적 : 망자의 함,고어 버빈스키,월트 디즈니 픽쳐스,브에나비스타인터내셔널코리아,브에나비스타인터내셔널코리아,2006-07-06,개봉영화,장편,미국,0,0,"4,628,903",액션,12세관람가,일반영화
141,박물관이 살아있다!,숀 레비,"이십세기폭스필름코퍼레이션,1492픽쳐스",이십세기폭스코리아(주),이십세기폭스코리아,2006-12-21,개봉영화,장편,미국,0,0,"4,612,831",코미디,전체관람가,일반영화
142,내 아내의 모든 것,민규동,"(주)수필름,영화사 집",,넥스트엔터테인먼트월드(NEW),2012-05-17,개봉영화,장편,한국,563,"34,222,160,500","4,598,583",코미디,15세이상관람가,일반영화
143,나쁜 녀석들: 더 무비,손용호,"(주)씨제이이엔엠,(주)영화사비단길",,CJ ENM,2019-09-11,개봉영화,장편,한국,"1,511","39,560,195,124","4,573,902",범죄,15세이상관람가,일반영화
144,판도라,박정우,(주)씨에이씨엔터테인먼트,,넥스트엔터테인먼트월드(NEW),2016-12-07,개봉영화,장편,한국,"1,166","35,965,733,064","4,571,142",드라마,12세이상관람가,일반영화
145,터미네이터 : 미래전쟁의 시작,맥지,더 할사이온 컴퍼니,(유)마스엔터테인먼트코리아,롯데엔터테인먼트,2009-05-21,개봉영화,장편,미국,704,"30,146,162,133","4,568,891",SF,15세이상관람가,일반영화
146,맘마미아!,필리다 로이드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-09-03,개봉영화,장편,미국,457,"29,570,784,560","4,554,785",멜로/로맨스,12세이상관람가,일반영화
147,연가시,박정우,(주)오죤필름,,CJ ENM,2012-07-05,개봉영화,장편,한국,759,"32,154,766,664","4,513,026",공포(호러),15세이상관람가,일반영화
148,아이언맨 2,존 파브로,"파라마운트 픽쳐스,마블 엔터프라이즈",CJ ENM,CJ ENM,2010-04-29,개봉영화,장편,미국,757,"33,161,943,100","4,498,335",SF,12세이상관람가,일반영화
149,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)브이에이스튜디오",,넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426","35,477,912,466","4,451,336",액션,15세이상관람가,일반영화
150,해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아,2011-07-13,개봉영화,장편,미국,757,"34,507,819,000","4,400,298",판타지,전체관람가,일반영화
151,다만 악에서 구하소서,홍원찬,(주)하이브미디어코프,,CJ ENM,2020-08-05,개봉영화,장편,한국,"1,998","38,554,527,990","4,352,669",범죄,15세이상관람가,일반영화
152,헌트,이정재,"(주)아티스트스튜디오,(주)사나이픽처스",,플러스엠 엔터테인먼트,2022-08-10,개봉영화,장편,한국,"1,625","44,573,032,153","4,350,029",액션,15세이상관람가,일반영화
153,아이언맨,존 파브로,,CJ ENM,CJ ENM,2008-04-30,개봉영화,장편,미국,592,"27,802,744,668","4,316,003",SF,12세이상관람가,일반영화
154,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아,2014-05-22,개봉영화,장편,미국,"1,056","34,654,558,766","4,313,871",액션,12세이상관람가,일반영화
155,강철중: 공공의 적 1-1,강우석,"(주)시네마서비스글로벌,(주)시네마서비스",,"CJ ENM,시네마서비스",2008-06-19,개봉영화,장편,한국,659,"28,465,757,767","4,300,670",드라마,15세이상관람가,일반영화
156,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,CJ ENM,2016-06-01,개봉영화,장편,한국,"1,171","35,114,332,791","4,277,071",스릴러,청소년관람불가,일반영화
157,킹콩,피터 잭슨,유니버셜 픽쳐스,UIP코리아,UIP코리아,2005-12-14,개봉영화,장편,미국,0,0,"4,232,430",드라마,15세관람가,일반영화
158,어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아,2014-04-23,개봉영화,장편,미국,"1,312","34,869,056,800","4,168,350",액션,12세이상관람가,일반영화
159,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,,CJ ENM,CJ ENM,2008-05-22,개봉영화,장편,미국,660,"26,693,951,667","4,136,101",액션,12세이상관람가,일반영화
160,용의자,원신연,"(주)그린피쉬,(주)쇼박스",,쇼박스,2013-12-24,개봉영화,장편,한국,807,"30,037,161,000","4,131,248",액션,15세이상관람가,일반영화
161,건축학개론,이용주,(주)명필름,,롯데엔터테인먼트,2012-03-22,개봉영화,장편,한국,593,"30,219,800,500","4,110,645",멜로/로맨스,12세이상관람가,일반영화
162,태풍,곽경택,CJ ENM,,CJ ENM,2005-12-14,개봉영화,장편,한국,0,0,"4,094,395",드라마,15세관람가,일반영화
163,미이라 3:황제의 무덤,롭 코헨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2008-07-30,개봉영화,장편,미국,527,"26,222,207,084","4,090,795",액션,12세이상관람가,일반영화
164,7급 공무원,신태라,"(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",,롯데엔터테인먼트,2009-04-22,개봉영화,장편,한국,475,"26,701,311,856","4,088,799",코미디,12세이상관람가,일반영화
165,다크 나이트,크리스토퍼 놀란,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)","주식회사 해리슨앤컴퍼니,워너브러더스 코리아",2008-08-06,개봉영화,장편,미국,462,"27,059,471,306","4,087,355",범죄,15세이상관람가,일반영화
166,댄싱퀸,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,CJ ENM,2012-01-18,개봉영화,장편,한국,534,"30,129,259,500","4,057,546",코미디,12세이상관람가,일반영화
167,우리 생애 최고의 순간,임순례,(주)엠케이픽처스,,싸이더스,2008-01-10,개봉영화,장편,한국,418,"26,151,780,425","4,044,582",드라마,전체관람가,일반영화
168,꾼,장창원,(주)영화사두둥,,쇼박스,2017-11-22,개봉영화,장편,한국,"1,314","31,313,568,795","4,018,341",범죄,15세이상관람가,일반영화
169,혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아,2014-07-10,개봉영화,장편,미국,922,"31,509,793,095","4,002,134",액션,12세이상관람가,일반영화
170,타짜-신의 손,강형철,(주)싸이더스,,"롯데엔터테인먼트,싸이더스",2014-09-03,개봉영화,장편,한국,890,"32,267,244,827","4,001,813",드라마,청소년관람불가,일반영화
